provider_code,specialty_code,n_points,lag1_autocorrelation
NT447,C_101,24,0.8404079448489207
NT447,C_110,24,0.7288825092245316
NT447,C_150,23,-0.12083780880773368
NT447,C_301,21,0.035591544046683125
NT447,C_400,24,0.4076878392840837
NT448,C_100,24,0.6929909379438077
NT448,C_101,24,0.255226960854394
NT448,C_110,24,0.33545528164993677
NT448,C_502,24,0.3960432299224774
NT448,X06,19,0.3426938202200501
NT449,C_100,24,0.6259340363524455
NT449,C_110,24,0.9027436221225544
NT449,C_150,23,0.7655743719816044
NT449,C_301,24,0.7358355745738103
NT449,X06,22,-0.0818286884163254
NT450,C_100,24,0.8165553752697777
NT450,C_101,24,0.7529732343169041
